Identifier,Crime Type,Date/Time,Address,Agency
1400969,Other,2/19/14 21:52,EL CAMINO HOSPITAL,Mountain View Police Department
1400964,Breaking & Entering,2/19/14 15:08,CVS - EL MONTE,Mountain View Police Department
1400960,Other,2/19/14 13:14,200 Block HOPE ST,Mountain View Police Department
1400961,Other Sexual Offense,2/19/14 12:59,STEVENS CREEK TRL & WHISMAN PARK BRIDG,Mountain View Police Department
1400955,Assault,2/19/14 10:00,MONTE CARLO CLUB,Mountain View Police Department
1400949,Traffic,2/18/14 22:41,1900 Block CALIFORNIA ST,Mountain View Police Department
1400948,Drugs,2/18/14 22:40,ESCUELA AV & LATHAM ST,Mountain View Police Department
1400947,Other,2/18/14 20:48,CUESTA DR & GRANT RD,Mountain View Police Department
1400946,Other,2/18/14 19:59,1000 Block SHOEWRS & ECR,Mountain View Police Department
1400943,Theft,2/18/14 18:03,KOHLS,Mountain View Police Department
1400941,Theft from Vehicle,2/18/14 16:36,200 Block W EL CAMINO REAL,Mountain View Police Department
1400940,Other,2/18/14 15:48,600 Block FRANKLIN ST,Mountain View Police Department
1400936,Other,2/18/14 14:39,UNKNOWN ST,Mountain View Police Department
1400934,Theft of Vehicle,2/18/14 12:49,600 Block MARIPOSA AV,Mountain View Police Department
1400935,Other,2/18/14 12:17,GRANT RD & SOUTH DR,Mountain View Police Department
1400931,Traffic,2/18/14 10:08,300 Block BUSH ST,Mountain View Police Department
1400929,Theft,2/18/14 7:23,CASTRO ST & W DANA ST,Mountain View Police Department
1400927,Other,2/17/14 20:49,1900 Block LATHAM ST,Mountain View Police Department
1400926,Traffic,2/17/14 19:54,CENTRAL EXPY & N SHORELINE BLVD,Mountain View Police Department
1400922,Other,2/17/14 15:51,1000 Block VILLA ST,Mountain View Police Department
1400921,Other,2/17/14 15:37,200 Block ADA AV,Mountain View Police Department
1400919,Theft of Vehicle,2/17/14 14:33,100 Block E EVELYN AV,Mountain View Police Department
1400917,Theft,2/17/14 13:37,1700 Block MIRAMONTE AV,Mountain View Police Department
1400918,Other,2/17/14 13:30,100 Block HOLLAND CT,Mountain View Police Department
1400915,Other,2/17/14 12:07,500 Block SYLVAN AV,Mountain View Police Department
1400913,Theft from Vehicle,2/17/14 11:00,100 Block HOLLY CT,Mountain View Police Department
1400910,Theft,2/17/14 9:42,200 Block E DANA ST,Mountain View Police Department
1400908,Other,2/17/14 8:35,200 Block OAK ST,Mountain View Police Department
1400905,Theft,2/17/14 8:12,100 Block STOCKWELL DR,Mountain View Police Department
1400904,Theft from Vehicle,2/17/14 8:11,200 Block BRYANT ST,Mountain View Police Department
1400902,Theft,2/17/14 8:05,1200 Block DALE AV,Mountain View Police Department
1400900,Breaking & Entering,2/17/14 3:01,800 Block E MIDDLEFIELD RD,Mountain View Police Department
1400897,Other,2/17/14 2:15,200 Block CASTRO ST,Mountain View Police Department
1400894,Disorder,2/16/14 17:15,1900 Block W EL CAMINO REAL,Mountain View Police Department
1400892,Missing Person,2/16/14 15:12,1900 Block LATHAM ST,Mountain View Police Department
1400889,Disorder,2/16/14 12:19,700 Block W DANA ST,Mountain View Police Department
1400887,Other,2/16/14 12:11,VILLA ST & WILD CHERRY LN,Mountain View Police Department
1400886,Other,2/16/14 10:24,100 Block BRYANT ST,Mountain View Police Department
1400885,Traffic,2/16/14 6:00,600 Block W EVELYN AV,Mountain View Police Department
1400882,Disorder,2/16/14 0:57,1000 Block GRANT RD,Mountain View Police Department
1400879,Other,2/15/14 19:24,800 Block CALIFORNIA ST,Mountain View Police Department
1400878,Other,2/15/14 18:33,1500 Block CALIFORNIA ST,Mountain View Police Department
1400876,Disorder,2/15/14 17:37,1000 Block GRANT RD,Mountain View Police Department
1400877,Property Crime,2/15/14 17:36,700 Block E EL CAMINO REAL,Mountain View Police Department
1400874,Other,2/15/14 15:28,1900 Block LATHAM ST,Mountain View Police Department
1400873,Drugs,2/15/14 13:08,100 Block GLADYS AV,Mountain View Police Department
1400872,Theft,2/15/14 11:53,200 Block ADA AV,Mountain View Police Department
1400870,Assault,2/15/14 1:31,CASTRO ST & VILLA ST,Mountain View Police Department
1400868,Assault,2/14/14 20:38,200 Block CASTRO ST,Mountain View Police Department
1400867,Sexual Assault,2/14/14 17:48,300 Block HOPE ST,Mountain View Police Department
1400865,Other,2/14/14 17:35,500 Block VIEW ST,Mountain View Police Department
1400863,Other,2/14/14 16:10,200 Block EASY ST,Mountain View Police Department
1400856,Drugs,2/14/14 12:11,100 Block E EL CAMINO REAL,Mountain View Police Department
1400855,Other,2/14/14 2:01,100 Block E EL CAMINO REAL,Mountain View Police Department
1400850,Other,2/13/14 20:13,300 Block SHELBY DR,Mountain View Police Department
1400848,Disorder,2/13/14 17:18,400 Block CHIQUITA AV,Mountain View Police Department
1400845,Traffic,2/13/14 16:26,W EL CAMINO REAL & EL MONTE AV,Mountain View Police Department
1400840,Drugs,2/13/14 14:16,500 Block COLEMAN AV,Mountain View Police Department
1400837,Theft,2/13/14 12:43,100 Block DENARDI LN,Mountain View Police Department
1400836,Theft,2/13/14 12:42,700 Block CONTINENTAL CIR,Mountain View Police Department
