Identifier,Crime Type,Date/Time,Address,Agency
133350005,Assault,12/1/13 0:19,500 Block RAMONA,Palo Alto Police Department
133350014,Assault,12/1/13 1:21,200 Block UNIVERSITY AV,Palo Alto Police Department
Nov-89,Breaking & Entering,12/1/13 19:30,500 Block CENTRAL AV,Menlo Park Police Department
133350175,Assault with Deadly Weapon,12/1/13 22:17,400 Block LYTTON AV,Palo Alto Police Department
133350180,Breaking & Entering,12/1/13 23:00,800 Block OREGON AV,Palo Alto Police Department
133360090,Theft,12/2/13 11:26,100 Block FULTON,Palo Alto Police Department
133360097,Assault,12/2/13 11:35,600 Block EMERSON,Palo Alto Police Department
E13-337-07,Theft,12/2/13 13:08,900 Block TINSLEY STREET,East Palo Alto Police Department
133360198,Theft,12/2/13 19:28,100 Block EL CAMINO REAL,Palo Alto Police Department
133360210,Breaking & Entering,12/2/13 21:17,500 Block HIGH,Palo Alto Police Department
7-Nov,Theft,12/3/13 0:00,300 Block OLIVE ST,Menlo Park Police Department
9-Nov,Assault,12/3/13 12:15,1800 Block DORIS DR,Menlo Park Police Department
11-Nov,Theft,12/3/13 13:12,700 Block GILBERT AV,Menlo Park Police Department
133370145,Theft,12/3/13 13:44,100 Block EL CAMINO REAL,Palo Alto Police Department
E13-337-12,Robbery,12/3/13 18:11,1700 Block BLOCK OF W BAYSHORE ROAD,East Palo Alto Police Department
133370263,Breaking & Entering,12/3/13 20:21,2600 Block EL CAMINO REAL,Palo Alto Police Department
133370276,Breaking & Entering,12/3/13 20:54,800 Block EL CAMINO REAL,Palo Alto Police Department
13-Nov,Theft,12/3/13 21:30,500 Block HERMOSA WY,Menlo Park Police Department
133380018,Breaking & Entering,12/4/13 6:18,200 Block HIGH,Palo Alto Police Department
133380067,Theft,12/4/13 10:09,100 Block EL CAMINO REAL,Palo Alto Police Department
Nov-33,Theft from Vehicle,12/4/13 15:15,1200 Block MIDDLE AV,Menlo Park Police Department
133380187,Theft,12/4/13 16:29,100 Block EL CAMINO REAL,Palo Alto Police Department
133380227,Theft,12/4/13 19:54,100 Block EL CAMINO REAL AND FITCH V840 FITCH V840,Palo Alto Police Department
133380257,Theft,12/4/13 23:08,1200 Block WILSON,Palo Alto Police Department
30-Nov,Theft,12/4/13 23:45,800 Block PAULSON CIRCLE,Menlo Park Police Department
133390024,Assault,12/5/13 7:52,1 Block UNIVERSITY AV,Palo Alto Police Department
E13-339-09,Assault with Deadly Weapon,12/5/13 13:37,400 Block LARKSPUR DRIVE,East Palo Alto Police Department
133390195,Theft,12/5/13 17:57,100 Block EL CAMINO REAL,Palo Alto Police Department
133390220,Theft,12/5/13 21:43,100 Block EL CAMINO REAL,Palo Alto Police Department
133390221,Breaking & Entering,12/5/13 21:44,300 Block HAMILTON AV,Palo Alto Police Department
133400054,Breaking & Entering,12/6/13 9:18,2000 Block BARBARA DR,Palo Alto Police Department
Nov-52,Theft,12/6/13 10:00,600 Block SANTA CRUZ AV,Menlo Park Police Department
133400193,Breaking & Entering,12/6/13 21:04,500 Block WEBSTER,Palo Alto Police Department
133400197,Breaking & Entering,12/6/13 21:16,500 Block WEBSTER,Palo Alto Police Department
133410155,Assault,12/7/13 23:26,500 Block RAMONA,Palo Alto Police Department
Nov-68,Breaking & Entering,12/8/13 13:30,600 Block CAMBRIDGE AV,Menlo Park Police Department
133420131,Breaking & Entering,12/8/13 15:36,2700 Block EMBARCADERO,Palo Alto Police Department
133420211,Theft,12/8/13 21:30,100 Block EL CAMINO REAL,Palo Alto Police Department
Nov-73,Breaking & Entering,12/9/13 8:20,600 Block OAK GROVE AV,Menlo Park Police Department
133430072,Theft,12/9/13 9:27,400 Block EMBARCADERO,Palo Alto Police Department
Nov-83,Breaking & Entering,12/9/13 11:00,300 Block OAK GROVE AV,Menlo Park Police Department
133430129,Theft,12/9/13 11:57,3200 Block E BAYSHORE,Palo Alto Police Department
Nov-79,Breaking & Entering,12/9/13 12:00,300 Block POPE ST,Menlo Park Police Department
Nov-77,Breaking & Entering,12/9/13 12:50,1100 Block MARCUSSEN DR,Menlo Park Police Department
133430164,Other Sexual Offense,12/9/13 13:47,300 Block PASTEUR DR,Palo Alto Police Department
Nov-80,Theft,12/9/13 15:00,1100 Block ELDER AV,Menlo Park Police Department
133430240,Theft,12/9/13 18:45,100 Block EL CAMINO REAL,Palo Alto Police Department
133430255,Breaking & Entering,12/9/13 19:35,100 Block EL CAMINO REAL,Palo Alto Police Department
133430275,Breaking & Entering,12/9/13 21:10,400 Block UNIVERSITY AV,Palo Alto Police Department
133430303,Breaking & Entering,12/9/13 22:33,400 Block UNIVERSITY AV,Palo Alto Police Department
133430317,Breaking & Entering,12/9/13 23:34,500 Block WEBSTER,Palo Alto Police Department
133430319,Breaking & Entering,12/9/13 23:46,500 Block WEBSTER,Palo Alto Police Department
133440055,Vehicle Recovery,12/10/13 9:04,CHANNING AV AND NEWELL NEWELL,Palo Alto Police Department
133440062,Theft,12/10/13 9:28,3300 Block BRYANT,Palo Alto Police Department
133440124,Theft,12/10/13 13:07,1100 Block EMBARCADERO,Palo Alto Police Department
133440151,Vehicle Recovery,12/10/13 14:42,LYTTON AV AND HIGH HIGH,Palo Alto Police Department
133440153,Theft,12/10/13 14:45,100 Block EL CAMINO REAL,Palo Alto Police Department
133440154,Theft,12/10/13 14:49,500 Block RAMONA,Palo Alto Police Department
133440161,Theft,12/10/13 15:16,500 Block RAMONA,Palo Alto Police Department
133440178,Other Sexual Offense,12/10/13 15:58,900 Block BRYANT,Palo Alto Police Department
133440255,Vehicle Recovery,12/10/13 21:51,1000 Block LOMA VERDE AV,Palo Alto Police Department
13-06923,Theft from Vehicle,12/10/13 23:37,2400 Block CHARLESTON RD,Mountain View Police Department
133450163,Theft,12/11/13 14:14,300 Block COWPER,Palo Alto Police Department
133450179,Breaking & Entering,12/11/13 15:03,300 Block PORTAGE AV,Palo Alto Police Department
133450205,Other Sexual Offense,12/11/13 16:00,200 Block FOREST AV,Palo Alto Police Department
133450207,Breaking & Entering,12/11/13 16:06,2500 Block EL CAMINO REAL,Palo Alto Police Department
133450264,Breaking & Entering,12/11/13 19:43,500 Block WEBSTER,Palo Alto Police Department
E13-346-05,Breaking & Entering,12/12/13 10:41,400 Block LARKSPUR DRIVE,East Palo Alto Police Department
133460070,Theft,12/12/13 11:15,600 Block EL CAMINO REAL,Palo Alto Police Department
133460170,Other Sexual Offense,12/12/13 17:20,200 Block FOREST AV,Palo Alto Police Department
13-Nov,Theft,12/12/13 23:00,100 Block OCONNOR ST,Menlo Park Police Department
S133480195,Theft from Vehicle,12/14/13 14:39,MUSEUM WAY,Santa Clara County Sheriff's Office
133480116,Theft,12/14/13 15:00,100 Block EL CAMINO REAL,Palo Alto Police Department
133480144,Theft,12/14/13 17:31,100 Block EL CAMINO REAL,Palo Alto Police Department
29-Nov,Theft,12/14/13 17:57,300 Block SHARON PARK DR,Menlo Park Police Department
133480163,Theft,12/14/13 19:03,100 Block EL CAMINO REAL,Palo Alto Police Department
133490020,Breaking & Entering,12/15/13 7:11,800 Block BOYCE AV,Palo Alto Police Department
133490035,Breaking & Entering,12/15/13 9:26,1500 Block CHANNING AV,Palo Alto Police Department
133490036,Theft,12/15/13 9:37,100 Block EL CAMINO REAL,Palo Alto Police Department
S133490215,Assault,12/15/13 14:49,1 Block BLOCK PASTEUR DR,Santa Clara County Sheriff's Office
Nov-36,Breaking & Entering,12/15/13 17:00,1200 Block ARBOR RD,Menlo Park Police Department
Nov-35,Theft,12/15/13 21:00,900 Block HOBART ST,Menlo Park Police Department
S133500284,Theft,12/16/13 16:05,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office
Nov-59,Theft,12/16/13 20:28,600 Block MENLO AV,Menlo Park Police Department
133500221,Breaking & Entering,12/16/13 21:16,1 Block UNIVERSITY AV,Palo Alto Police Department
133500227,Breaking & Entering,12/16/13 21:28,1 Block UNIVERSITY AV,Palo Alto Police Department
133500236,Breaking & Entering,12/16/13 21:58,100 Block EL CAMINO REAL,Palo Alto Police Department
S133510017,Theft,12/17/13 1:12,300 Block OAK RD,Santa Clara County Sheriff's Office
Nov-62,Assault,12/17/13 9:45,400 Block POPE ST,Menlo Park Police Department
133510157,Theft,12/17/13 15:12,100 Block EL CAMINO REAL,Palo Alto Police Department
133510179,Breaking & Entering,12/17/13 17:03,500 Block WEBSTER,Palo Alto Police Department
133510204,Breaking & Entering,12/17/13 19:27,500 Block WEBSTER,Palo Alto Police Department
133510224,Breaking & Entering,12/17/13 20:34,100 Block EL CAMINO REAL,Palo Alto Police Department
133510242,Breaking & Entering,12/17/13 21:06,2600 Block EL CAMINO REAL,Palo Alto Police Department
E14-004-11,Breaking & Entering,12/18/13 0:00,1800 Block EAST BAYSHORE ROAD,East Palo Alto Police Department
