Identifier,Crime Type,Date/Time,Address,Agency
13082238,Theft,12/31/13 19:57,600 Block CONCAR DR,San Mateo Police Department
13082195,Assault,12/31/13 16:54,1 Block N CLAREMONT ST,San Mateo Police Department
13082161,Theft,12/31/13 14:21,600 Block CONCAR DR,San Mateo Police Department
13082146,Theft,12/31/13 12:14,1700 Block BROOKS ST,San Mateo Police Department
13082130,Theft,12/31/13 10:50,1600 Block WOLFE DR,San Mateo Police Department
13082120,Theft,12/31/13 9:01,300 Block BALDWIN AV,San Mateo Police Department
13082110,Theft,12/31/13 7:28,1400 Block S B ST,San Mateo Police Department
13082109,Theft,12/31/13 7:25,300 Block ELM ST,San Mateo Police Department
13082084,Theft,12/31/13 0:22,2900 Block S NORFOLK ST,San Mateo Police Department
13081941,Theft,12/30/13 14:37,1 Block BOVET RD,San Mateo Police Department
13081923,Theft,12/30/13 13:34,1900 Block OFARRELL ST,San Mateo Police Department
13081911,Breaking & Entering,12/30/13 12:28,1 Block EL CERRITO AV,San Mateo Police Department
13081890,Theft,12/30/13 10:55,1 Block 14TH AV,San Mateo Police Department
13081882,Theft,12/30/13 10:29,800 Block N HUMBOLDT ST,San Mateo Police Department
13081869,Theft,12/30/13 9:52,3000 Block LOS PRADOS,San Mateo Police Department
13081861,Theft,12/30/13 8:38,200 Block VIRGINIA AV,San Mateo Police Department
13081852,Theft,12/30/13 7:59,400 Block E BELLEVUE AV,San Mateo Police Department
13081847,Theft,12/30/13 7:29,1100 Block WAYNE WAY,San Mateo Police Department
13081842,Theft,12/30/13 7:20,1700 Block S GRANT ST,San Mateo Police Department
13081714,Theft,12/29/13 14:44,500 Block S EL CAMINO REAL,San Mateo Police Department
13081683,Theft from Vehicle,12/29/13 10:30,1800 Block S GRANT ST,San Mateo Police Department
13081682,Theft,12/29/13 10:26,200 Block BALDWIN AV,San Mateo Police Department
201303237,Theft,12/29/13 0:00,2300 Block HALE DR,Burlingame Police Department
13081597,Theft,12/28/13 21:56,600 Block CONCAR DR,San Mateo Police Department
13081469,Theft,12/28/13 9:39,800 Block N DELAWARE ST,San Mateo Police Department
13081376,Theft,12/27/13 21:14,300 Block S NORFOLK ST,San Mateo Police Department
13081347,Assault,12/27/13 17:48,N DELAWARE ST &MONTE DIABLO AV,San Mateo Police Department
13081279,Theft of Vehicle,12/27/13 11:43,1 Block 9TH AV,San Mateo Police Department
13081267,Theft,12/27/13 9:38,E 4TH AV &S DELAWARE ST,San Mateo Police Department
201303223,Robbery,12/27/13 0:00,1300 Block BURLINGAME AV,Burlingame Police Department
201303219,Theft,12/27/13 0:00,1400 Block BURLINGAME AV,Burlingame Police Department
201303221,Theft,12/27/13 0:00,1300 Block BURLINGAME AV,Burlingame Police Department
13081178,Theft,12/26/13 20:57,1600 Block S EL CAMINO REAL,San Mateo Police Department
13081168,Theft from Vehicle,12/26/13 19:42,1800 Block S GRANT ST,San Mateo Police Department
13081121,Theft,12/26/13 16:27,200 Block N GRANT ST,San Mateo Police Department
13081065,Theft,12/26/13 11:19,600 Block CONCAR DR,San Mateo Police Department
13080837,Breaking & Entering,12/24/13 21:53,600 Block NEVADA AV,San Mateo Police Department
13080699,Theft,12/24/13 7:46,100 Block SOUTH BLVD,San Mateo Police Department
13080697,Theft,12/24/13 7:42,500 Block S EL CAMINO REAL,San Mateo Police Department
13080639,Theft from Vehicle,12/23/13 22:15,600 Block CONCAR DR,San Mateo Police Department
13080626,Robbery,12/23/13 21:45,300 Block CATALPA ST,San Mateo Police Department
13080498,Theft of Vehicle,12/23/13 11:22,700 Block E 16TH AV,San Mateo Police Department
13080459,Theft,12/23/13 9:16,2200 Block BRIDGEPOINTE PKY,San Mateo Police Department
13080454,Theft,12/23/13 9:02,1500 Block S NORFOLK ST,San Mateo Police Department
13080448,Theft,12/23/13 8:38,1400 Block LODI AV,San Mateo Police Department
13080447,Theft,12/23/13 8:33,1 Block DE SABLA RD,San Mateo Police Department
13080446,Theft,12/23/13 8:31,1300 Block S B ST,San Mateo Police Department
13080444,Theft,12/23/13 8:29,800 Block N CLAREMONT ST,San Mateo Police Department
201303205,Theft,12/23/13 0:00,1400 Block HOWARD AV,Burlingame Police Department
201303199,Assault,12/23/13 0:00,1100 Block BURLINGAME AV,Burlingame Police Department
13080390,Theft of Vehicle,12/22/13 23:19,700 Block E 16TH AV,San Mateo Police Department
13080226,Theft from Vehicle,12/22/13 10:14,300 Block W POPLAR AV,San Mateo Police Department
13080224,Assault,12/22/13 10:07,300 Block N DELAWARE ST,San Mateo Police Department
201303195,Theft,12/22/13 0:00,200 Block LORTON AV,Burlingame Police Department
13080128,Theft from Vehicle,12/21/13 21:57,1 Block 2ND AV,San Mateo Police Department
13080126,Theft from Vehicle,12/21/13 21:47,400 Block S ELLSWORTH AV,San Mateo Police Department
13080124,Theft from Vehicle,12/21/13 21:31,1 Block 2ND AV,San Mateo Police Department
13080120,Theft from Vehicle,12/21/13 21:15,1 Block 2ND AV,San Mateo Police Department
13080119,Theft from Vehicle,12/21/13 21:15,1 Block 2ND AV,San Mateo Police Department
13080041,Theft,12/21/13 15:01,500 Block E 3RD AV,San Mateo Police Department
13080016,Theft from Vehicle,12/21/13 11:46,1 Block W POPLAR AV,San Mateo Police Department
13079984,Theft from Vehicle,12/21/13 5:48,300 Block W POPLAR AV,San Mateo Police Department
13079839,Theft,12/20/13 16:48,2200 Block BRIDGEPOINTE PKY,San Mateo Police Department
13079826,Theft,12/20/13 16:13,600 Block EDNA WAY,San Mateo Police Department
13079772,Breaking & Entering,12/20/13 12:11,1 Block WILDWOOD DR,San Mateo Police Department
201303184,Theft,12/20/13 0:00,100 Block CLARENDON RD,Burlingame Police Department
13079548,Theft,12/19/13 8:16,2000 Block PALM AV,San Mateo Police Department
13079545,Theft,12/19/13 8:10,1 Block BOVET RD,San Mateo Police Department
13079486,Theft from Vehicle,12/18/13 22:05,1800 Block S NORFOLK ST,San Mateo Police Department
13079461,Breaking & Entering,12/18/13 18:54,2200 Block S DELAWARE ST,San Mateo Police Department
13079392,Theft of Vehicle,12/18/13 13:51,1800 Block S NORFOLK ST,San Mateo Police Department
13079388,Theft of Vehicle,12/18/13 13:25,2200 Block PALM AV,San Mateo Police Department
13079385,Theft,12/18/13 13:12,900 Block ALAMEDA DE LAS PULGAS,San Mateo Police Department
13079361,Theft of Vehicle,12/18/13 11:24,1600 Block CELESTE DR,San Mateo Police Department
13079350,Breaking & Entering,12/18/13 10:41,900 Block LAUREL AV,San Mateo Police Department
13079321,Other Sexual Offense,12/18/13 7:53,500 Block S NORFOLK ST,San Mateo Police Department
201303172,Theft,12/18/13 0:00,600 Block CALIFORNIA DR,Burlingame Police Department
13079249,Theft,12/17/13 18:01,1700 Block S DELAWARE ST,San Mateo Police Department
13079213,Theft,12/17/13 15:28,200 Block S IDAHO ST,San Mateo Police Department
13079205,Assault,12/17/13 14:30,800 Block 19TH AV,San Mateo Police Department
13079192,Theft from Vehicle,12/17/13 13:24,1900 Block J HART CLINTON DR,San Mateo Police Department
13079100,Theft,12/17/13 7:13,1 Block ARROYO CT,San Mateo Police Department
13079081,Theft,12/16/13 23:42,1600 Block S EL CAMINO REAL,San Mateo Police Department
13078994,Theft,12/16/13 17:14,1600 Block MARINA CT,San Mateo Police Department
13078969,Theft,12/16/13 15:19,1600 Block MARINA CT,San Mateo Police Department
913-15999-0283,Theft,12/16/13 11:59,UNKNOWN & UNKNOWN,Los Angeles County Sheriff Department
13078918,Theft from Vehicle,12/16/13 11:34,600 Block S EL CAMINO REAL,San Mateo Police Department
13078907,Theft,12/16/13 10:48,1200 Block ALAMEDA DE LAS PULGAS,San Mateo Police Department
13078899,Theft,12/16/13 9:53,1300 Block COBB ST,San Mateo Police Department
13078898,Theft,12/16/13 9:50,1600 Block MARINA CT,San Mateo Police Department
13078896,Theft,12/16/13 9:48,400 Block STUDIO CR,San Mateo Police Department
13078889,Theft,12/16/13 9:33,1800 Block HAMLET ST,San Mateo Police Department
13078888,Theft,12/16/13 9:31,1600 Block MARINA CT,San Mateo Police Department
13078886,Theft,12/16/13 9:20,1600 Block MARINA CT,San Mateo Police Department
13078876,Theft,12/16/13 8:53,300 Block LAURIE MEADOWS DR,San Mateo Police Department
13078873,Breaking & Entering,12/16/13 8:45,1 Block BALDWIN AV,San Mateo Police Department
13078872,Theft,12/16/13 8:43,1600 Block COBB ST,San Mateo Police Department
13078870,Theft,12/16/13 8:32,1200 Block DIX ST,San Mateo Police Department
13078869,Theft,12/16/13 8:29,100 Block S B ST,San Mateo Police Department
13078867,Theft,12/16/13 8:25,100 Block S SAN MATEO DR,San Mateo Police Department
13078863,Theft,12/16/13 8:11,1700 Block BORDEN ST,San Mateo Police Department
13078857,Theft,12/16/13 7:47,1600 Block S EL CAMINO REAL,San Mateo Police Department
13078847,Theft,12/16/13 6:14,200 Block N IDAHO ST,San Mateo Police Department
13078796,Theft of Vehicle,12/15/13 21:12,200 Block N IDAHO ST,San Mateo Police Department
13078779,Assault,12/15/13 20:19,1 Block S B ST,San Mateo Police Department
13078745,Theft,12/15/13 17:58,3000 Block LA SELVA ST,San Mateo Police Department
13078710,Theft,12/15/13 15:48,1700 Block S DELAWARE ST,San Mateo Police Department
13078676,Theft from Vehicle,12/15/13 13:49,1900 Block J HART CLINTON DR,San Mateo Police Department
13078617,Theft from Vehicle,12/15/13 8:57,VISTA DEL MAR &WINWARD WAY,San Mateo Police Department
13078600,Theft from Vehicle,12/15/13 1:37,2000 Block BRIDGEPOINTE CR,San Mateo Police Department
201303157,Theft,12/15/13 0:00,1300 Block BERNAL AV,Burlingame Police Department
13078419,Theft from Vehicle,12/14/13 14:35,300 Block S ELLSWORTH AV,San Mateo Police Department
13078371,Breaking & Entering,12/14/13 10:33,600 Block E 3RD AV,San Mateo Police Department
