Identifier,Crime Type,Date/Time,Address,Agency
131201073,Theft,12/1/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
131201099,Theft,12/1/13 0:00,3400 Block GRANADA AV,Santa Clara City Police Department
130012062,Theft,12/1/13 0:00,3400 Block GRANADA AV,Santa Clara City Police Department
130012055,Theft,12/1/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
130009501,Breaking & Entering,12/1/13 9:42,500 Block S SUNNYVALE AV,Sunnyvale Department of Public Safety
130009504,Robbery,12/1/13 12:17,600 Block S BERNARDO AV,Sunnyvale Department of Public Safety
130009513,Theft,12/1/13 16:08,800 Block E FREMONT AV,Sunnyvale Department of Public Safety
130009512,Assault,12/1/13 17:05,300 Block SUNSET AV,Sunnyvale Department of Public Safety
130009521,Theft,12/1/13 23:54,500 Block E WASHINGTON AV,Sunnyvale Department of Public Safety
130012117,Theft,12/2/13 0:00,2000 Block RUTLEDGE PL,Santa Clara City Police Department
131202213,Theft,12/2/13 0:00,2000 Block RUTLEDGE PL,Santa Clara City Police Department
130009523,Theft,12/2/13 2:11,600 Block S BERNARDO AV,Sunnyvale Department of Public Safety
130009528,Breaking & Entering,12/2/13 8:00,1200 Block KIFER RD,Sunnyvale Department of Public Safety
130009532,Breaking & Entering,12/2/13 10:48,400 Block E MAUDE AV,Sunnyvale Department of Public Safety
138000781,Theft,12/2/13 13:57,800 Block STEWART DR,Sunnyvale Department of Public Safety
130009541,Robbery,12/2/13 15:38,200 Block E MAUDE AV,Sunnyvale Department of Public Safety
130009542,Theft,12/2/13 15:42,600 Block S FAIR OAKS AV,Sunnyvale Department of Public Safety
13-06787,Robbery,12/2/13 19:41,200 Block W EL CAMINO REAL,Mountain View Police Department
14-00933,Theft from Vehicle,12/2/13 19:56,2400 Block GRANT RD,Mountain View Police Department
131203-0145,Theft,12/2/13 20:00,1600 Block OAK AV,Los Altos Police Department
130012123,Theft,12/3/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department
130012127,Theft,12/3/13 0:00,EMMETT CT & EMMETT PL,Santa Clara City Police Department
131203-0112,Theft,12/3/13 0:00,AUSTIN AV & / RICHARDSON AV,Los Altos Police Department
131203031,Theft,12/3/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department
131203153,Theft,12/3/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department
