Nov-89,Breaking & Entering,500 Block CENTRAL AV,Menlo Park Police Department,12/1/2013,19:30
7-Nov,Theft,300 Block OLIVE ST,Menlo Park Police Department,12/3/2013,0:00
9-Nov,Assault,1800 Block DORIS DR,Menlo Park Police Department,12/3/2013,12:15
11-Nov,Theft,700 Block GILBERT AV,Menlo Park Police Department,12/3/2013,13:12
13-Nov,Theft,500 Block HERMOSA WY,Menlo Park Police Department,12/3/2013,21:30
Nov-33,Theft from Vehicle,1200 Block MIDDLE AV,Menlo Park Police Department,12/4/2013,15:15
30-Nov,Theft,800 Block PAULSON CIRCLE,Menlo Park Police Department,12/4/2013,23:45
Nov-52,Theft,600 Block SANTA CRUZ AV,Menlo Park Police Department,12/6/2013,10:00
Nov-68,Breaking & Entering,600 Block CAMBRIDGE AV,Menlo Park Police Department,12/8/2013,13:30
Nov-73,Breaking & Entering,600 Block OAK GROVE AV,Menlo Park Police Department,12/9/2013,8:20
Nov-83,Breaking & Entering,300 Block OAK GROVE AV,Menlo Park Police Department,12/9/2013,11:00
Nov-79,Breaking & Entering,300 Block POPE ST,Menlo Park Police Department,12/9/2013,12:00
Nov-77,Breaking & Entering,1100 Block MARCUSSEN DR,Menlo Park Police Department,12/9/2013,12:50
Nov-80,Theft,1100 Block ELDER AV,Menlo Park Police Department,12/9/2013,15:00
13-Nov,Theft,100 Block OCONNOR ST,Menlo Park Police Department,12/12/2013,23:00
29-Nov,Theft,300 Block SHARON PARK DR,Menlo Park Police Department,12/14/2013,17:57
Nov-36,Breaking & Entering,1200 Block ARBOR RD,Menlo Park Police Department,12/15/2013,17:00
Nov-35,Theft,900 Block HOBART ST,Menlo Park Police Department,12/15/2013,21:00
Nov-59,Theft,600 Block MENLO AV,Menlo Park Police Department,12/16/2013,20:28
Nov-62,Assault,400 Block POPE ST,Menlo Park Police Department,12/17/2013,9:45
Nov-90,Theft,1100 Block WOODLAND AV,Menlo Park Police Department,12/19/2013,19:35
Nov-94,Assault,1900 Block SANTA CRUZ AV,Menlo Park Police Department,12/19/2013,21:51
29-Nov,Theft,1000 Block MIDDLE AV,Menlo Park Police Department,12/23/2013,16:15
30-Nov,Theft,1100 Block BAY LAUREL DR,Menlo Park Police Department,12/23/2013,17:45
Nov-45,Theft,800 Block SANTA CRUZ AV,Menlo Park Police Department,12/24/2013,17:09
Nov-50,Theft,2100 Block SANTA CRUZ AV,Menlo Park Police Department,12/25/2013,0:00
Nov-96,Breaking & Entering,1000 Block UNIVERSITY DR,Menlo Park Police Department,12/31/2013,0:00
11-0339,Theft,1800 Block WHITE OAK DR,Menlo Park Police Department,2/2/2014,1:46
11-0392,Theft,500 Block EL CAMINO REAL,Menlo Park Police Department,2/6/2014,18:27
11-0406,Theft,500 Block EL CAMINO REAL,Menlo Park Police Department,2/8/2014,14:45
11-0416,Theft,500 Block EL CAMINO REAL,Menlo Park Police Department,2/10/2014,2:19
11-0418,Theft,1300 Block JOHNSON ST,Menlo Park Police Department,2/10/2014,13:12
11-0422,Theft,300 Block WAVERLEY ST,Menlo Park Police Department,2/10/2014,23:30
11-0431,Breaking & Entering,400 Block COTTON ST,Menlo Park Police Department,2/11/2014,11:45
11-0448,Theft from Vehicle,1100 Block EL CAMINO REAL,Menlo Park Police Department,2/12/2014,18:00
11-0461,Breaking & Entering,100 Block SAN MATEO DR,Menlo Park Police Department,2/13/2014,13:00
11-0453,Theft,800 Block ALMA STREET,Menlo Park Police Department,2/13/2014,14:00
11-0024,Theft,1100 Block BAY LAUREL DR,Menlo Park Police Department,1/3/2014,0:00
11-0026,Breaking & Entering,1100 Block EL CAMINO REAL,Menlo Park Police Department,1/3/2014,0:00
11-0023,Theft,500 Block OAK KNOLL LN,Menlo Park Police Department,1/3/2014,0:00
11-0034,Breaking & Entering,1700 Block STANFORD AV,Menlo Park Police Department,1/4/2014,0:00
11-0045,Breaking & Entering,200 Block MCKENDRY DR,Menlo Park Police Department,1/6/2014,12:30
11-0051,Theft,MENLO AV & CHESTNUT ST,Menlo Park Police Department,1/7/2014,0:00
11-0060,Theft from Vehicle,500 Block EL CAMINO REAL,Menlo Park Police Department,1/7/2014,22:20
11-0081,Breaking & Entering,500 Block FANITA WY,Menlo Park Police Department,1/10/2014,16:00
11-0109,Breaking & Entering,700 Block OAK KNOLL LN,Menlo Park Police Department,1/12/2014,9:00
11-0107,Breaking & Entering,1500 Block EL CAMINO REAL,Menlo Park Police Department,1/12/2014,19:40
11-0123,Theft from Vehicle,500 Block EL CAMINO REAL,Menlo Park Police Department,1/13/2014,22:05
11-0133,Theft,MENALTO AV & GILBERT AV,Menlo Park Police Department,1/14/2014,17:30
11-0151,Theft,300 Block SHARON PARK DR,Menlo Park Police Department,1/15/2014,15:53
11-0153,Theft,300 Block SHARON PARK DR,Menlo Park Police Department,1/15/2014,18:30
11-0160,Theft,600 Block ALMA ST,Menlo Park Police Department,1/16/2014,11:00
11-0162,Theft,700 Block SANTA CRUZ AV,Menlo Park Police Department,1/16/2014,20:27
11-0176,Theft,300 Block SHARON PARK DR,Menlo Park Police Department,1/17/2014,17:55
11-0192,Theft of Vehicle,300 Block WAVERLEY ST,Menlo Park Police Department,1/19/2014,0:00
11-0213,Theft,500 Block LAUREL ST,Menlo Park Police Department,1/22/2014,0:00
11-0212,Theft,LAUREL ST & BURGESS DR,Menlo Park Police Department,1/22/2014,12:10
11-0236,Theft,1000 Block UNIVERSITY DR,Menlo Park Police Department,1/24/2014,14:43
11-0242,Theft,1000 Block UNIVERSITY DR,Menlo Park Police Department,1/24/2014,19:02
11-0272,Theft,500 Block GLENWOOD AV,Menlo Park Police Department,1/27/2014,8:45
11-0285,Theft,MENLO AV & DOYLE ST,Menlo Park Police Department,1/28/2014,11:00
11-0292,Breaking & Entering,200 Block MCKENDRY DR,Menlo Park Police Department,1/29/2014,8:30
