1400969,Other,EL CAMINO HOSPITAL,Mountain View Police Department,2/19/2014,21:52
1400964,Breaking & Entering,CVS - EL MONTE,Mountain View Police Department,2/19/2014,15:08
1400960,Other,200 Block HOPE ST,Mountain View Police Department,2/19/2014,13:14
1400961,Other Sexual Offense,STEVENS CREEK TRL & WHISMAN PARK BRIDG,Mountain View Police Department,2/19/2014,12:59
1400955,Assault,MONTE CARLO CLUB,Mountain View Police Department,2/19/2014,10:00
1400949,Traffic,1900 Block CALIFORNIA ST,Mountain View Police Department,2/18/2014,22:41
1400948,Drugs,ESCUELA AV & LATHAM ST,Mountain View Police Department,2/18/2014,22:40
1400947,Other,CUESTA DR & GRANT RD,Mountain View Police Department,2/18/2014,20:48
1400946,Other,1000 Block SHOEWRS & ECR,Mountain View Police Department,2/18/2014,19:59
1400943,Theft,KOHLS,Mountain View Police Department,2/18/2014,18:03
1400941,Theft from Vehicle,200 Block W EL CAMINO REAL,Mountain View Police Department,2/18/2014,16:36
1400940,Other,600 Block FRANKLIN ST,Mountain View Police Department,2/18/2014,15:48
1400936,Other,UNKNOWN ST,Mountain View Police Department,2/18/2014,14:39
1400934,Theft of Vehicle,600 Block MARIPOSA AV,Mountain View Police Department,2/18/2014,12:49
1400935,Other,GRANT RD & SOUTH DR,Mountain View Police Department,2/18/2014,12:17
1400931,Traffic,300 Block BUSH ST,Mountain View Police Department,2/18/2014,10:08
1400929,Theft,CASTRO ST & W DANA ST,Mountain View Police Department,2/18/2014,7:23
1400927,Other,1900 Block LATHAM ST,Mountain View Police Department,2/17/2014,20:49
1400926,Traffic,CENTRAL EXPY & N SHORELINE BLVD,Mountain View Police Department,2/17/2014,19:54
1400922,Other,1000 Block VILLA ST,Mountain View Police Department,2/17/2014,15:51
1400921,Other,200 Block ADA AV,Mountain View Police Department,2/17/2014,15:37
1400919,Theft of Vehicle,100 Block E EVELYN AV,Mountain View Police Department,2/17/2014,14:33
1400917,Theft,1700 Block MIRAMONTE AV,Mountain View Police Department,2/17/2014,13:37
1400918,Other,100 Block HOLLAND CT,Mountain View Police Department,2/17/2014,13:30
1400915,Other,500 Block SYLVAN AV,Mountain View Police Department,2/17/2014,12:07
1400913,Theft from Vehicle,100 Block HOLLY CT,Mountain View Police Department,2/17/2014,11:00
1400910,Theft,200 Block E DANA ST,Mountain View Police Department,2/17/2014,9:42
1400908,Other,200 Block OAK ST,Mountain View Police Department,2/17/2014,8:35
1400905,Theft,100 Block STOCKWELL DR,Mountain View Police Department,2/17/2014,8:12
1400904,Theft from Vehicle,200 Block BRYANT ST,Mountain View Police Department,2/17/2014,8:11
1400902,Theft,1200 Block DALE AV,Mountain View Police Department,2/17/2014,8:05
1400900,Breaking & Entering,800 Block E MIDDLEFIELD RD,Mountain View Police Department,2/17/2014,3:01
1400897,Other,200 Block CASTRO ST,Mountain View Police Department,2/17/2014,2:15
1400894,Disorder,1900 Block W EL CAMINO REAL,Mountain View Police Department,2/16/2014,17:15
1400892,Missing Person,1900 Block LATHAM ST,Mountain View Police Department,2/16/2014,15:12
1400889,Disorder,700 Block W DANA ST,Mountain View Police Department,2/16/2014,12:19
1400887,Other,VILLA ST & WILD CHERRY LN,Mountain View Police Department,2/16/2014,12:11
1400886,Other,100 Block BRYANT ST,Mountain View Police Department,2/16/2014,10:24
1400885,Traffic,600 Block W EVELYN AV,Mountain View Police Department,2/16/2014,6:00
1400882,Disorder,1000 Block GRANT RD,Mountain View Police Department,2/16/2014,0:57
1400879,Other,800 Block CALIFORNIA ST,Mountain View Police Department,2/15/2014,19:24
1400878,Other,1500 Block CALIFORNIA ST,Mountain View Police Department,2/15/2014,18:33
1400876,Disorder,1000 Block GRANT RD,Mountain View Police Department,2/15/2014,17:37
1400877,Property Crime,700 Block E EL CAMINO REAL,Mountain View Police Department,2/15/2014,17:36
1400874,Other,1900 Block LATHAM ST,Mountain View Police Department,2/15/2014,15:28
1400873,Drugs,100 Block GLADYS AV,Mountain View Police Department,2/15/2014,13:08
1400872,Theft,200 Block ADA AV,Mountain View Police Department,2/15/2014,11:53
1400870,Assault,CASTRO ST & VILLA ST,Mountain View Police Department,2/15/2014,1:31
1400868,Assault,200 Block CASTRO ST,Mountain View Police Department,2/14/2014,20:38
1400867,Sexual Assault,300 Block HOPE ST,Mountain View Police Department,2/14/2014,17:48
1400865,Other,500 Block VIEW ST,Mountain View Police Department,2/14/2014,17:35
1400863,Other,200 Block EASY ST,Mountain View Police Department,2/14/2014,16:10
1400856,Drugs,100 Block E EL CAMINO REAL,Mountain View Police Department,2/14/2014,12:11
1400855,Other,100 Block E EL CAMINO REAL,Mountain View Police Department,2/14/2014,2:01
1400850,Other,300 Block SHELBY DR,Mountain View Police Department,2/13/2014,20:13
1400848,Disorder,400 Block CHIQUITA AV,Mountain View Police Department,2/13/2014,17:18
1400845,Traffic,W EL CAMINO REAL & EL MONTE AV,Mountain View Police Department,2/13/2014,16:26
1400840,Drugs,500 Block COLEMAN AV,Mountain View Police Department,2/13/2014,14:16
1400837,Theft,100 Block DENARDI LN,Mountain View Police Department,2/13/2014,12:43
1400836,Theft,700 Block CONTINENTAL CIR,Mountain View Police Department,2/13/2014,12:42
1400831,Other,400 Block W EL CAMINO REAL,Mountain View Police Department,2/13/2014,9:18
1400830,Theft,500 Block CYPRESS POINT DR,Mountain View Police Department,2/13/2014,7:29
1400829,Drugs,400 Block CHIQUITA AV,Mountain View Police Department,2/13/2014,0:39
1400827,Assault,1900 Block CALIFORNIA ST,Mountain View Police Department,2/12/2014,23:34
1400826,Drugs,700 Block E EL CAMINO REAL,Mountain View Police Department,2/12/2014,22:24
1400825,Drugs,1900 Block LATHAM ST,Mountain View Police Department,2/12/2014,21:32
1400822,Disorder,800 Block CHURCH ST,Mountain View Police Department,2/12/2014,18:49
1400821,Assault,200 Block TYRELLA AV,Mountain View Police Department,2/12/2014,18:23
1400823,Drugs,100 Block E EL CAMINO REAL,Mountain View Police Department,2/12/2014,17:38
1400819,Theft of Vehicle,2700 Block LEVIN CT,Mountain View Police Department,2/12/2014,16:57
1400817,Other,1500 Block W EL CAMINO REAL,Mountain View Police Department,2/12/2014,16:18
1400816,Other,BERNARDO AV & EL CAMINO REAL,Mountain View Police Department,2/12/2014,12:14
1400810,Theft,600 Block DRUCILLA DR,Mountain View Police Department,2/12/2014,8:31
1400806,Other,WALGRNS 121 EECR,Mountain View Police Department,2/11/2014,23:00
1400813,Theft,600 Block W EVELYN AV,Mountain View Police Department,2/11/2014,21:58
1400805,Missing Person,UNKNOWN ST,Mountain View Police Department,2/11/2014,21:42
1400802,Missing Person,500 Block VIEW ST,Mountain View Police Department,2/11/2014,21:29
