S133480195,Theft from Vehicle,MUSEUM WAY,Santa Clara County Sheriff's Office,12/14/2013,14:39
S133490215,Assault,1 Block BLOCK PASTEUR DR,Santa Clara County Sheriff's Office,12/15/2013,14:49
S133500284,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/16/2013,16:05
S133510017,Theft,300 Block OAK RD,Santa Clara County Sheriff's Office,12/17/2013,1:12
S133520210,Breaking & Entering,500 Block LASUEN ST,Santa Clara County Sheriff's Office,12/18/2013,13:31
S133520453,Breaking & Entering,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/18/2013,22:46
S133530136,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/19/2013,11:00
S133530236,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/19/2013,15:30
S133540241,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,12/20/2013,16:22
S140320220,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/1/2014,13:21
S140330200,Theft,700 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,2/2/2014,13:24
S140340245,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/3/2014,13:13
S140340321,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/3/2014,15:34
S140340452,Theft,400 Block LOMITA MALL,Santa Clara County Sheriff's Office,2/3/2014,21:55
S140350470,Theft of Vehicle,600 Block CAMPUS DR,Santa Clara County Sheriff's Office,2/4/2014,19:35
S140350513,Breaking & Entering,1 Block HOSKINS CT,Santa Clara County Sheriff's Office,2/4/2014,21:10
S140350514,Breaking & Entering,1 Block OLMSTED RD,Santa Clara County Sheriff's Office,2/4/2014,21:10
S140360302,Theft,600 Block CROTHERS WAY,Santa Clara County Sheriff's Office,2/5/2014,14:09
S140360406,Theft,0 BLOCK PALM DR,Santa Clara County Sheriff's Office,2/5/2014,16:26
S140360442,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/5/2014,17:28
S140370033,Vehicle Recovery,LASUEN ST,Santa Clara County Sheriff's Office,2/6/2014,4:15
S140370060,Theft,600 Block SERRA ST,Santa Clara County Sheriff's Office,2/6/2014,8:16
S140370177,Theft,500 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,2/6/2014,11:38
S140390243,Breaking & Entering,500 Block LASUEN MALL,Santa Clara County Sheriff's Office,2/8/2014,15:46
S140410247,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/10/2014,13:56
S140410479,Breaking & Entering,1 Block DUDLEY LN,Santa Clara County Sheriff's Office,2/10/2014,23:50
S140420345,Theft,600 Block ESCONDIDO RD,Santa Clara County Sheriff's Office,2/11/2014,16:12
S140430349,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,2/12/2014,16:17
S140440016,Breaking & Entering,200 Block AYRSHIRE FARM LN,Santa Clara County Sheriff's Office,2/13/2014,1:13
S140440145,Breaking & Entering,1 Block HULME CT,Santa Clara County Sheriff's Office,2/13/2014,11:07
S140060092,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/6/2014,9:28
S140060093,Theft,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/6/2014,9:28
S140060219,Theft,500 Block LASUEN MALL,Santa Clara County Sheriff's Office,1/6/2014,13:51
S140060234,Breaking & Entering,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/6/2014,14:27
S140060236,Breaking & Entering,1 Block BLOCK SERRA ST,Santa Clara County Sheriff's Office,1/6/2014,14:28
S140070378,Theft of Vehicle,200 Block PANAMA ST,Santa Clara County Sheriff's Office,1/7/2014,16:41
